"Google";"694653"
"Cisco";"99624"
"IBM";"18241"
"Intel";"284784"
"Apple";"22144"
"Bank of America";"662744"
"Chevron Corporation";"667226"
"Ford Motor Company";"13606"
"Goldman Sachs";"663137"
"Honeywell International";"666236"
"Johnson & Johnson";"666601"
"Kellogg Company";"20562"
"Lockeed Martin Corporation";"21553"
"Microsoft Corporation";"358464"
"Macy`s Inc";"655697"
"Nokia Corporation ";"657729"
"Oracle Corporation";"419344"
"Yahoo";"658890"
"Qualcomm Inc";"656142"
"Procter and Gamble company";"29312"
